Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Thu;3/7/2019;Brand.com;655;629;649;549;"No data";199;1;Thu;3/7/2019;Brand.com;430;"No data";306;291;"No data";152;3
Thu;3/7/2019;Brand.com;655;629;649;549;"No data";199;1;Thu;3/7/2019;Booking.com;602;"Sold out";496;316;238;137;3
Thu;3/7/2019;Booking.com;705;629;749;549;605;179;1;Thu;3/7/2019;Brand.com;430;"No data";306;291;"No data";152;3
Thu;3/7/2019;Booking.com;705;629;749;549;605;179;1;Thu;3/7/2019;Booking.com;602;"Sold out";496;316;238;137;3
Thu;3/7/2019;Expedia;"Sold out";629;749;549;685;179;1;Thu;3/7/2019;Brand.com;430;"No data";306;291;"No data";152;3
Thu;3/7/2019;Expedia;"Sold out";629;749;549;685;179;1;Thu;3/7/2019;Booking.com;602;"Sold out";496;316;238;137;3
Thu;3/7/2019;GDS;655;629;649;549;455;199;1;Thu;3/7/2019;Brand.com;430;"No data";306;291;"No data";152;3
Thu;3/7/2019;GDS;655;629;649;549;455;199;1;Thu;3/7/2019;Booking.com;602;"Sold out";496;316;238;137;3
Fri;3/8/2019;Brand.com;565;329;249;219;"No data";129;1;Fri;3/8/2019;Brand.com;417;"No data";266;244;"No data";139;3
Fri;3/8/2019;Brand.com;565;329;249;219;"No data";129;1;Fri;3/8/2019;Booking.com;562;402;479;269;220;125;3
Fri;3/8/2019;Booking.com;585;329;379;219;185;116;1;Fri;3/8/2019;Brand.com;417;"No data";266;244;"No data";139;3
Fri;3/8/2019;Booking.com;585;329;379;219;185;116;1;Fri;3/8/2019;Booking.com;562;402;479;269;220;125;3
Fri;3/8/2019;Expedia;535;280;379;219;215;116;1;Fri;3/8/2019;Brand.com;417;"No data";266;244;"No data";139;3
Fri;3/8/2019;Expedia;535;280;379;219;215;116;1;Fri;3/8/2019;Booking.com;562;402;479;269;220;125;3
Fri;3/8/2019;GDS;535;329;249;219;215;129;1;Fri;3/8/2019;Brand.com;417;"No data";266;244;"No data";139;3
Fri;3/8/2019;GDS;535;329;249;219;215;129;1;Fri;3/8/2019;Booking.com;562;402;479;269;220;125;3
Sat;3/9/2019;Brand.com;465;329;249;154;"No data";123;1;Sat;3/9/2019;Brand.com;417;"No data";982;411;"No data";170;3
Sat;3/9/2019;Brand.com;465;329;249;154;"No data";123;1;Sat;3/9/2019;Booking.com;632;542;949;436;"Sold out";170;3
Sat;3/9/2019;Booking.com;465;329;359;179;155;116;1;Sat;3/9/2019;Brand.com;417;"No data";982;411;"No data";170;3
Sat;3/9/2019;Booking.com;465;329;359;179;155;116;1;Sat;3/9/2019;Booking.com;632;542;949;436;"Sold out";170;3
