D_Predict,DTA,Nightly_Price
1,102,745
2,102,745
3,102,795
4,102,845
5,102,680
6,102,680
7,102,"1,256"
8,102,"1,125"
9,102,595
10,102,549
11,102,591
12,102,745
13,102,745
14,102,845
15,102,"1,595"
16,102,"1,595"
17,102,"1,016"
18,102,680
19,102,680
20,102,680
21,102,895
22,102,895
23,102,902
24,102,0
25,102,0
26,102,0
27,102,634
28,102,719
29,102,761
30,102,634
1,105,745
2,105,745
3,105,795
4,105,845
5,105,680
6,105,680
7,105,"1,256"
8,105,"1,125"
9,105,595
10,105,549
11,105,591
12,105,745
13,105,745
14,105,845
15,105,"1,595"
16,105,"1,595"
17,105,"1,016"
18,105,680
19,105,680
20,105,680
21,105,895
22,105,895
23,105,745
24,105,0
25,105,0
26,105,0
27,105,634
28,105,719
29,105,761
30,105,634
1,108,765
2,108,765
3,108,795
4,108,845
5,108,795
6,108,795
7,108,"1,256"
8,108,"1,125"
9,108,595
10,108,549
11,108,591
12,108,745
13,108,745
14,108,845
15,108,"1,595"
16,108,"1,410"
17,108,"1,016"
18,108,680
19,108,680
20,108,680
21,108,895
22,108,895
23,108,745
24,108,0
25,108,0
26,108,0
27,108,634
28,108,719
29,108,761
30,108,634
1,111,765
2,111,902
3,111,795
4,111,845
5,111,795
6,111,795
7,111,902
8,111,"1,256"
9,111,595
10,111,549
11,111,591
12,111,745
13,111,745
14,111,845
15,111,"1,595"
16,111,"1,410"
17,111,"1,016"
18,111,634
19,111,634
20,111,634
21,111,895
22,111,895
23,111,745
24,111,0
25,111,0
26,111,0
27,111,634
28,111,719
29,111,761
30,111,634
1,114,765
2,114,902
3,114,795
4,114,845
5,114,795
6,114,795
7,114,902
8,114,"1,256"
9,114,595
10,114,549
11,114,591
12,114,745
13,114,645
14,114,845
15,114,"1,595"
16,114,"1,410"
17,114,"1,016"
18,114,634
19,114,634
20,114,634
21,114,895
22,114,895
23,114,745
24,114,0
25,114,0
26,114,0
27,114,634
28,114,719
29,114,761
30,114,634
1,117,765
2,117,765
3,117,795
4,117,845
5,117,795
6,117,795
7,117,902
8,117,"1,256"
9,117,595
10,117,549
11,117,591
12,117,745
13,117,645
14,117,845
15,117,"1,256"
16,117,"1,410"
17,117,"1,016"
18,117,634
19,117,634
20,117,634
21,117,895
22,117,895
23,117,745
24,117,0
25,117,0
26,117,0
27,117,634
28,117,719
29,117,761
30,117,634
1,120,765
2,120,765
3,120,795
4,120,845
5,120,645
6,120,645
7,120,845
8,120,945
9,120,595
10,120,549
11,120,591
12,120,745
13,120,645
14,120,845
15,120,"1,256"
16,120,"1,410"
17,120,"1,016"
18,120,634
19,120,634
20,120,634
21,120,895
22,120,895
23,120,745
24,120,0
25,120,0
26,120,0
27,120,634
28,120,719
29,120,761
30,120,634
1,123,765
2,123,765
3,123,795
4,123,845
5,123,645
6,123,645
7,123,845
8,123,945
9,123,595
10,123,549
11,123,591
12,123,745
13,123,645
14,123,845
15,123,"1,256"
16,123,"1,410"
17,123,"1,016"
18,123,634
19,123,634
20,123,634
21,123,895
22,123,895
23,123,745
24,123,0
25,123,0
26,123,0
27,123,634
28,123,719
29,123,761
30,123,634
1,126,765
2,126,845
3,126,795
4,126,845
5,126,645
6,126,645
7,126,845
8,126,945
9,126,595
10,126,549
11,126,591
12,126,745
13,126,645
14,126,845
15,126,"1,256"
16,126,"1,410"
17,126,"1,016"
