Day,Date,Channel,Rosewood Sand Hill,Garden Court Hotel,Nobu Hotel Epiphany Palo Alto,Stanford Park Hotel,Westin Palo Alto,Pullman San Francisco Bay
Thu,3/7/2019,Brand.com,430,No data,306,291,No data,152
Thu,3/7/2019,Booking.com,602,Sold out,496,316,238,137
Fri,3/8/2019,Brand.com,417,No data,266,244,No data,139
Fri,3/8/2019,Booking.com,562,402,479,269,220,125
Sat,3/9/2019,Brand.com,417,No data,982,411,No data,170
Sat,3/9/2019,Booking.com,632,542,949,436,Sold out,170
Sun,3/10/2019,Brand.com,915,No data,"1,099",637,No data,245
Sun,3/10/2019,Booking.com,Sold out,Sold out,999,662,Sold out,252
Mon,3/11/2019,Brand.com,Sold out,No data,"1,199",747,No data,311
Mon,3/11/2019,Booking.com,Sold out,Sold out,"1,016",772,Sold out,316
Tue,3/12/2019,Brand.com,Sold out,No data,"1,132",707,No data,287
Tue,3/12/2019,Booking.com,Sold out,Sold out,999,732,Sold out,290
Wed,3/13/2019,Brand.com,Sold out,No data,616,487,No data,215
Wed,3/13/2019,Booking.com,Sold out,602,609,512,Sold out,221
Thu,3/14/2019,Brand.com,377,No data,306,261,No data,143
Thu,3/14/2019,Booking.com,498,416,479,286,266,143
Fri,3/15/2019,Brand.com,397,No data,266,224,No data,152
Fri,3/15/2019,Booking.com,488,382,479,249,230,152
Sat,3/16/2019,Brand.com,625,No data,532,351,No data,243
Sat,3/16/2019,Booking.com,592,542,736,376,374,230
Sun,3/17/2019,Brand.com,"1,005",No data,782,494,No data,334
Sun,3/17/2019,Booking.com,Sold out,729,982,519,527,300
Mon,3/18/2019,Brand.com,"1,095",No data,899,574,No data,389
Mon,3/18/2019,Booking.com,Sold out,842,999,599,755,341
Tue,3/19/2019,Brand.com,"1,065",No data,849,547,No data,325
Tue,3/19/2019,Booking.com,Sold out,809,982,572,690,300
Wed,3/20/2019,Brand.com,417,No data,599,404,No data,231
Wed,3/20/2019,Booking.com,712,622,609,429,417,227
Thu,3/21/2019,Brand.com,Sold out,No data,359,261,No data,138
Thu,3/21/2019,Booking.com,Sold out,436,479,286,280,138
Fri,3/22/2019,Brand.com,Sold out,No data,Sold out,231,No data,118
Fri,3/22/2019,Booking.com,Sold out,402,Sold out,256,285,118
Sat,3/23/2019,Brand.com,Sold out,No data,Sold out,374,No data,181
Sat,3/23/2019,Booking.com,Sold out,Sold out,Sold out,399,429,186
Sun,3/24/2019,Brand.com,Sold out,No data,Sold out,537,No data,350
Sun,3/24/2019,Booking.com,Sold out,Sold out,Sold out,562,600,359
Mon,3/25/2019,Brand.com,Sold out,No data,899,624,No data,433
Mon,3/25/2019,Booking.com,Sold out,Sold out,849,649,775,446
Tue,3/26/2019,Brand.com,805,No data,816,584,No data,401
Tue,3/26/2019,Booking.com,825,Sold out,849,609,753,412
